DIVISION,DATE,FIXTURE,HOME TEAM,AWAY TEAM,Team_Home,PPG_Home,Last8_Home,Team_Away,PPG_Away,Last8_Away
EPL,22/04/19,Ipswich Town - Swansea City,Ipswich Town,Swansea City,Ipswich Town,0.0,0.10548523206751054,Swansea City,0.5072463768115942,0.36708860759493667
EPL,22/04/19,Nottm Forest - Middlesbrough,Nottm Forest,Middlesbrough,Nottm Forest,0.5000000000000001,0.10548523206751054,Middlesbrough,0.6159420289855073,0.05063291139240506
EPL,22/04/19,Reading - West Bromwich,Reading,West Bromwich,Reading,0.2753623188405797,0.47257383966244726,West Bromwich,0.7753623188405796,0.42194092827004215
EPL,22/04/19,Rotherham - Birmingham City,Rotherham,Birmingham City,Rotherham,0.20289855072463764,0.26160337552742613,Birmingham City,0.46376811594202905,0.0
EPL,22/04/19,Sheffield Wed - Bristol City,Sheffield Wed,Bristol City,Sheffield Wed,0.5289855072463767,0.36708860759493667,Bristol City,0.6666666666666667,0.36708860759493667
EPL,22/04/19,Stoke City - Norwich City,Stoke City,Norwich City,Stoke City,0.41304347826086957,0.3164556962025316,Norwich City,1.0,0.7890295358649789
EPL,22/04/19,Wigan Athletic - Preston,Wigan Athletic,Preston,Wigan Athletic,0.23913043478260868,0.05063291139240506,Preston,0.5000000000000001,0.26160337552742613
EPL,22/04/19,Brentford - Leeds Utd,Brentford,Leeds Utd,Brentford,0.44927536231884063,0.1561181434599156,Leeds Utd,0.9275362318840579,0.6835443037974683
EPL,27/04/19,Millwall - Stoke City,Millwall,Stoke City,Millwall,0.2536231884057971,0.1561181434599156,Stoke City,0.41304347826086957,0.3164556962025316
EPL,27/04/19,Birmingham City - Wigan Athletic,Birmingham City,Wigan Athletic,Birmingham City,0.46376811594202905,0.0,Wigan Athletic,0.23913043478260868,0.05063291139240506
EPL,27/04/19,Bolton - Brentford,Bolton,Brentford,Bolton,0.06521739130434781,0.05063291139240506,Brentford,0.44927536231884063,0.1561181434599156
EPL,27/04/19,Bristol City - Derby County,Bristol City,Derby County,Bristol City,0.6666666666666667,0.36708860759493667,Derby County,0.6304347826086957,0.36708860759493667
EPL,27/04/19,Middlesbrough - Reading,Middlesbrough,Reading,Middlesbrough,0.6159420289855073,0.05063291139240506,Reading,0.2753623188405797,0.47257383966244726
EPL,27/04/19,Preston - Sheffield Wed,Preston,Sheffield Wed,Preston,0.5000000000000001,0.26160337552742613,Sheffield Wed,0.5289855072463767,0.36708860759493667
EPL,27/04/19,QP Rangers - Nottm Forest,QP Rangers,Nottm Forest,QP Rangers,0.34057971014492744,0.05063291139240506,Nottm Forest,0.5000000000000001,0.10548523206751054
